学校名称,郵便番号,所在地,電話番号,緯度,経度
麹町学園女子高等学校,102-0083,千代田区麹町３−８,03-3263-3011,,
佼成学園高等学校,166-0012,杉並区和田２−６−２９,03-3381-7227,,
佼成学園女子高等学校,157-0064,世田谷区給田２−１−１,03-3300-2351,,
香蘭女学校高等科,142-0064,品川区旗の台６−２２−２１,03-3786-1136,,
國學院高等学校,150-0001,渋谷区神宮前２−２−３,03-3403-2331,,
國學院大學久我山高等学校,168-0082,杉並区久我山１−９−１,03-3334-1151,,
国際基督教大学高等学校,184-8503,小金井市東町１−１−１,0422-33-3401,,
国士舘高等学校,154-8553,世田谷区若林４−３２−１,03-5481-3137,,
国士舘高等学校（定時制）,154-8586,世田谷区若林４−３２−１,03-5481-3137,,
国士舘高等学校（通信制）,154-8586,世田谷区若林４−３３−１,03-5481-5827,,
駒込高等学校,113-0022,文京区千駄木５−６−２５,03-3828-4141,,
駒沢学園女子高等学校,206-8511,稲城市坂浜２３８,042-350-7123,,
駒澤大学高等学校,158-8577,世田谷区上用賀１−１７−１２,03-3700-6131,,
駒場学園高等学校,155-0032,世田谷区代沢１−２３−８,03-3413-5561,,
駒場東邦高等学校,154-0001,世田谷区池尻４−５−１,03-3466-8221,,
桜丘高等学校,114-0023,北区滝野川１−５１−１２,03-3910-6161,,
実践学園高等学校,164-0011,中野区中央２−３４−２,03-3371-5268,,
実践女子学園高等学校,150-0011,渋谷区東１−１−１１,03-3409-1771,,
品川エトワール女子高等学校,140-0004,品川区南品川５−１２−４,03-3474-2231,,
品川女子学院高等部,140-8707,品川区北品川３−３−１２,03-3474-4048,,
芝高等学校,105-0011,港区芝公園３−５−３７,03-3431-2629,,
芝浦工業大学高等学校,174-8524,板橋区坂下２−２−１,03-5994-0721,,
渋谷教育学園渋谷高等学校,150-0002,渋谷区渋谷１−２１−１８,03-3400-6363,,
下北沢成徳高等学校,155-8668,世田谷区代田６−１２−３９,03-3468-1551,,
自由ヶ丘学園高等学校,152-0035,目黒区自由が丘２−２１−１,03-3717-0388,,
自由学園高等科,203-8521,東久留米市学園町１−８−１５,0424-22-3111,,
修徳高等学校,125-8507,葛飾区青戸８−１０−１,03-3601-0116,,
十文字高等学校,170-0004,豊島区北大塚１−１０−３３,03-3918-0511,,
淑徳高等学校,174-8643,板橋区前野町５−１４−１,03-3969-7411,,
淑徳ＳＣ高等部,112-0002,文京区小石川３−１４−３,03-3811-0237,,
淑徳巣鴨高等学校,170-0001,豊島区西巣鴨２−２２−１６,03-3918-6451,,
順天高等学校,114-0022,北区王子本町１−１７−１３,03-3908-2966,,
潤徳女子高等学校,120-0034,足立区千住２−１１,03-3881-7161,,
松蔭高等学校,155-8611,世田谷区北沢１−１６−１０,03-3467-1511,,
頌栄女子学院高等学校,108-0071,港区白金台２−２６−５,03-3441-2005,,
城西大学附属城西高等学校,171-0044,豊島区千早１−１０−２６,03-3973-6331,,
聖徳学園高等学校,180-8601,武蔵野市境南町２−１１−８,0422-31-5121,,
城北高等学校,174-8711,板橋区東新町２−２８−１,03-3956-3157,,
昭和女子大学附属昭和高等学校,154-8533,世田谷区太子堂１−７,03-3424-9128,,
昭和第一高等学校,113-0033,文京区本郷１−２−１５,03-3811-0636,,
昭和第一学園高等学校,190-0003,立川市栄町２−４５−８,042-536-1611,,
昭和鉄道高等学校,170-0011,豊島区池袋本町２−１０−１,03-3988-5511,,
女子学院高等学校,102-0082,千代田区一番町２２−１０,03-3263-1711,,
女子聖学院高等学校,114-8574,北区中里３−１２−２,03-3917-2277,,
女子美術大学付属高等学校,166-8538,杉並区和田１−４９−８,03-5340-4541,,
白梅学園高等学校,187-8570,小平市小川町１−８３０,042-346-5691,,
白百合学園高等学校,102-8185,千代田区九段北２−４−１,03-3234-6661,,
巣鴨高等学校,170-0012,豊島区上池袋１−２１−１,03-3918-5311,,
杉並学院高等学校,166-0004,杉並区阿佐谷南２−３０−１７,03-3316-3311,,
駿台学園高等学校,114-0002,北区王子６−１−１０,03-3913-5735,,
駿台学園高等学校（定時制）,114-0002,北区王子６−１−１０,03-3914-5849,,
聖学院高等学校,114-8502,北区中里３−１２−１,03-3917-1121,,
成蹊高等学校,180-8633,武蔵野市吉祥寺北町３−１０−１３,0422-37-3818,,
成女高等学校,162-0067,新宿区富久町７−３０,03-3351-2330,,
成城高等学校,162-8670,新宿区原町３−８７,03-3341-6141,,
成城学園高等学校,157-8511,世田谷区成城６−１−２０,03-3482-1181,,
聖心女子学院高等科,108-0072,港区白金４−１１−１,03-3444-7671,,
正則高等学校,105-0011,港区芝公園３−１−３６,03-3431-0913,,
正則学園高等学校,101-0054,千代田区神田錦町３−１,03-3295-3011,,
聖ドミニコ学園高等学校,157-0076,世田谷区岡本１−１０−１,03-3700-0017,,
聖パウロ学園高等学校,192-0154,八王子市下恩方町２７２７,0426-51-3893,,
聖パウロ学園高等学校（通信制）,192-0154,八王子市下恩方町２７２７,0426-51-3893,,
星美学園高等学校,115-8524,北区赤羽台４−２−１４,03-3906-0054,,
成立学園高等学校,114-0001,北区東十条６−９−１３,03-3902-4411,,
青稜高等学校,142-8550,品川区二葉１−６−６,03-3782-1502,,
世田谷学園高等学校,154-0005,世田谷区三宿１−１６−３１,03-3411-8661,,
専修大学附属高等学校,168-0063,杉並区和泉４−４−１,03-3322-7171,,
創価高等学校,187-0024,小平市たかの台２−１,042-342-2611,,
大成高等学校,181-0012,三鷹市上連雀６−７−５,0422-43-3196,,
大東学園高等学校,156-0055,世田谷区船橋７−２２−１,03-3483-1901,,
大東文化大学第一高等学校,175-8571,板橋区高島平１−９−１,03-5399-7890,,
高輪高等学校,108-0074,港区高輪２−１−３２,03-3441-7201,,
瀧野川女子学園高等学校,114-0016,北区上中里１−２７−７,03-3910-6315,,
拓殖大学第一高等学校,208-0013,武蔵村山市大南４−６４−５,042-590-3311,,
立川女子高等学校,190-0011,立川市高松町３−１２−１,042-524-5188,,
玉川学園高等部,194-8610,町田市玉川学園６−１−１,042-739-8928,,
玉川聖学院高等部,158-0083,世田谷区奥沢７−１１−２２,03-3702-4141,,
多摩大学附属聖ケ丘高等学校,206-0022,多摩市聖ケ丘４−１−１,042-372-9393,,
多摩大学目黒高等学校,153-0064,目黒区下目黒４−１０−２４,03-3714-2661,,
中央学院大学中央高等学校,136-0071,江東区亀戸７−６５−１２,03-5836-7020,,
中央大学高等学校（定時制）,112-8551,文京区春日１−１３−２７,03-3814-5275,,
中央大学杉並高等学校,167-0035,杉並区今川２−７−１,03-3390-3175,,
中央大学附属高等学校,184-8575,小金井市貫井北町３−２２−１,042-381-5413,,
千代田女学園高等学校,102-0081,千代田区四番町１１,03-3263-6551,,
鶴川高等学校,195-0054,町田市三輪町１２２,044-988-1126,,
帝京高等学校,173-8555,板橋区稲荷台２７−１,03-3963-6415,,
帝京大学高等学校,192-0361,八王子市越野３２２,0426-76-9511,,
帝京八王子高等学校,192-0151,八王子市上川町３７６６,0426-54-6141,,
貞静学園高等学校,112-8625,文京区大塚１−２−１０,03-3943-3711,,
田園調布学園高等部,158-8512,世田谷区東玉川２−２１−８,03-3727-6121,,
田園調布雙葉高等学校,158-0085,世田谷区玉川田園調布１−２０−９,03-3721-1772,,
東亜学園高等学校,164-0002,中野区上高田５−４４−３,03-3387-6331,,
東海大学菅生高等学校,197-0801,あきる野市菅生１８１７,042-559-2200,,
東海大学付属高輪台高等学校,108-0074,港区高輪２−２−１６,03-3448-4011,,
東海大学付属望星高等学校（通信制）,151-0063,渋谷区富ヶ谷２−１０−１,03-3467-8111,,
東京高等学校,146-0091,大田区鵜の木２−３９−１,03-3750-2635,,
東京音楽大学付属高等学校,112-0014,文京区関口３−１２−１,03-3945-6214,,
東京学園高等学校,153-0064,目黒区下目黒６−１２−２５,03-3711-6641,,
東京家政学院高等学校,102-8341,千代田区三番町２２,03-3262-2251
東京家政大学附属女子高等学校,173-8602,板橋区加賀１−１８−１,03-3961-2447,,
東京実業高等学校,144-0051,大田区西蒲田８−１８−１,03-3732-4481,,
東京純心女子高等学校,192-0011,八王子市滝山町２−６００,0426-91-1345,,
東京女学館高等学校,150-0012,渋谷区広尾３−７−１６,03-3400-0861,,
東京女子学院高等学校,177-0051,練馬区関町北４−１６−１１,03-3920-5151,,
東京女子学園高等学校,108-0014,港区芝４−１−３０,03-3451-0912,,
東京成徳大学高等学校,114-8526,北区豊島８−２６−９,03-3911-2786,,
東京電機大学高等学校,184-0002,小金井市梶野町４−８−１,0422-37-6441,,
東京都市大学等々力高等学校,158-0082,世田谷区等々力８−１０−１,03-5962-0104,,
東京都市大学付属高等学校,157-8560,世田谷区成城１−１３−１,03-3416-4161,,
東京農業大学第一高等学校,156-0053,世田谷区桜３−３３−１,03-3425-4481,,
東京立正高等学校,166-0013,杉並区堀ノ内２−４１−１５,03-3312-1111,,
東星学園高等学校,204-0024,清瀬市梅園３−１４−４７,0424-93-3201,,
桐朋高等学校,186-0004,国立市中３−１−１０,042-577-2171,,
東邦音楽大学附属東邦高等学校,112-0012,文京区大塚４−４６−９,03-3946-9668,,
桐朋女子高等学校,182-8510,調布市若葉町１−４１−１,03-3300-2111,,
東洋高等学校,101-0061,千代田区三崎町１−４−１６,03-3291-3824,,
東洋英和女学院高等部,106-8507,港区六本木５−１４−４０,03-3583-0696,,
東洋女子高等学校,112-0011,文京区千石３−２９−８,03-3941-2680,,
東洋大学京北高等学校,112-0001,文京区白山２−３６−５,03-3816-6213,,
トキワ松学園高等学校,152-0003,目黒区碑文谷４−１７−１６,03-3713-8161,,
豊島岡女子学園高等学校,170-0013,豊島区東池袋１−２５−２２,03-3983-8261,,
豊島学院高等学校,170-0011,豊島区池袋本町２−１０−１,03-3988-5511,,
獨協高等学校,112-0014,文京区関口３−８−１,03-3943-3651,,
中村高等学校,135-0024,江東区清澄２−３−１５,03-3642-8041,,
二松學舎大学附属高等学校,102-0074,千代田区九段南２−１−３２,03-3263-5014,,
日体荏原高等学校,146-8588,大田区池上８−２６−１,03-3759-3291,,
日体桜華高等学校,189-0024,東村山市富士見町２−５−１,042-391-4133,,
新渡戸文化高等学校,164-8638,中野区本町６−３８−１,03-3381-0196,,
日本音楽高等学校,142-0042,品川区豊町２−１６−１２,03-3786-1711,,
日本学園高等学校,156-0043,世田谷区松原２−７−３４,03-3322-6331,,
日本工業大学駒場高等学校,153-0041,目黒区駒場１−３５−３２,03-3467-2130,,
日本女子体育大学附属二階堂高等学校,156-0043,世田谷区松原２−１７−２２,03-3322-9151,,
日本大学櫻丘高等学校,156-0045,世田谷区桜上水３−２４−２２,03-3304-4301,,
日本大学第一高等学校,130-0015,墨田区横網１−５−２,03-3625-0026,,
日本大学第二高等学校,167-0032,杉並区天沼１−４５−３３,03-3391-0223,,
日本大学第三高等学校,194-0203,町田市図師町１１−２３７５,042-793-2123,,
日本大学鶴ヶ丘高等学校,168-0063,杉並区和泉２−２６−１２,03-3322-7521,,
日本大学豊山高等学校,112-0012,文京区大塚５−４０−１０,03-3943-2161,,
日本大学豊山女子高等学校,174-0064,板橋区中台３−１５−１,03-3934-2341,,
日本橋女学館高等学校,103-8384,中央区日本橋馬喰町２−７−６,03-3662-2507,,
日本放送協会学園高等学校（通信制）,186-8001,国立市富士見台２−３６,042-572-3151,,
八王子学園八王子高等学校,193-0931,八王子市台町４−３５−１,042-623-3461,,
八王子実践高等学校,193-0931,八王子市台町１−６−１５,0426-22-0654,,
日出高等学校,153-0063,目黒区目黒１−６−１５,03-3492-3388,,
日出高等学校（通信制）,153-0063,目黒区目黒１−６−１５,03-3492-6674,,
広尾学園高等学校,106-0047,港区南麻布５−１−１４,03-3444-7271,,
富士見高等学校,176-0023,練馬区中村北４−８−２６,03-3999-2136,,
富士見丘高等学校,151-0073,渋谷区笹塚３−１９−９,03-3376-1481,,
藤村女子高等学校,180-8505,武蔵野市吉祥寺本町２−１６−３,0422-22-1266,,
雙葉高等学校,102-0085,千代田区六番町１４−１,03-3261-0821,,
普連土学園高等学校,108-0073,港区三田４−１４−１６,03-3451-4616,,
文化学園大学杉並高等学校,166-0004,杉並区阿佐谷南３−４８−１６,03-3392-6636,,
文華女子高等学校,188-0004,西東京市西原町４−５−８５,0424-63-2664,,
文京学院大学女子高等学校,113-8667,文京区本駒込６−１８−３,03-3946-5301,,
文教大学付属高等学校,142-0064,品川区旗の台３−２−１７,03-3783-5511,,
法政大学高等学校,181-0002,三鷹市牟礼４−３−１,0422-79-6230,,
宝仙学園高等学校,164-8628,中野区中央２−２８−３,03-3371-7103,,
豊南高等学校,171-0042,豊島区高松３−６−７,03-3959-5511,,
朋優学院高等学校,142-8608,品川区西大井６−１−２３,03-3784-2131,,
保善高等学校,169-0072,新宿区大久保３−６−２,03-3209-8756,,
堀越高等学校,164-0001,中野区中野１−５７−１２（仮校舎）,03-3363-7661,,
本郷高等学校,170-0003,豊島区駒込４−１１−１,03-3917-1456,,
三田国際学園高等学校,158-0097,世田谷区用賀２−１６−１,03-3707-5676,,
明星学園高等学校,181-0002,三鷹市牟礼４−１５−２２,0422-48-6221,,
三輪田学園高等学校,102-0073,千代田区九段北３−３−１５,03-3263-7801,,
武蔵高等学校,176-8535,練馬区豊玉上１−２６−１,03-5984-3741,,
武蔵野高等学校,114-0024,北区西ヶ原４−５６−２０,03-3910-0151,,
武蔵野女子学院高等学校,202-8585,西東京市新町１−１−２０,0424-68-3256,,
村田女子高等学校,113-8665,文京区本駒込２−２９−１,03-5940-4455,,
明治学院高等学校,108-0071,港区白金台１−２−３７,03-5421-5011,,
明治学院東村山高等学校,189-0024,東村山市富士見町１−１２−３,042-391-2142,,
明治大学付属中野高等学校,164-0003,中野区東中野３−３−４,03-3362-8704,,
明治大学付属中野八王子高等学校,192-0001,八王子市戸吹町１１００,0426-91-0321,,
明治大学付属明治高等学校,182-0033,調布市富士見町４−２３−２５,042-444-9100,,
明星高等学校,183-8531,府中市栄町１−１,042-368-5111,,
明法高等学校,189-0024,東村山市富士見町２−４−１２,042-393-5611,,
目黒学院高等学校,153-8631,目黒区中目黒１−１−５０,03-3711-6556,,
目黒星美学園高等学校,157-0074,世田谷区大蔵２−８−１,03-3416-1150,,
目白研心高等学校,161-8539,新宿区中落合４−３１−１,03-5996-3131,,
八雲学園高等学校,152-0023,目黒区八雲２−１４−１,03-3717-1196,,
安田学園高等学校,130-0015,墨田区横網２−２−２５,03-3624-2666,,
山脇学園高等学校,107-8371,港区赤坂４−１０−３６,03-3585-3911,,
立教池袋高等学校,171-0021,豊島区西池袋５−１６−５,03-3985-2707,,
立教女学院高等学校,168-8616,杉並区久我山４−２９−６０,03-3334-5103,,
立志舎高等学校（通信制）,130-0012,墨田区太平２−９−６,03-5608-1033,,
立正大学付属立正高等学校,143-8557,大田区西馬込１−５−１,03-6303-7683,,
和光高等学校,195-0051,町田市真光寺町１２９１,042-734-3401,,
早稲田高等学校,162-8654,新宿区馬場下町６２,03-3202-7674,,
早稲田大学系属早稲田実業学校高等部,185-8505,国分寺市本町１−２−１,042-300-2121,,
早稲田大学高等学院,177-0044,練馬区上石神井３−３１−１,03-5991-4151,,
和洋九段女子高等学校,102-0073,千代田区九段北１−１２−１２,03-3262-4161,,
