愛国中学校,133-8585,江戸川区西小岩５−７−１,03-3658-4111
佼成学園中学校,166-0012,杉並区和田２−６−２９,03-3381-7227
佼成学園女子中学校,157-0064,世田谷区給田２−１−１,03-3300-2351
香蘭女学校中等科,142-0064,品川区旗の台６−２２−２１,03-3786-1136
國學院大學久我山中学校,168-0082,杉並区久我山１−９−１,03-3334-1151
国士舘中学校,154-8553,世田谷区若林４−３２−１,03-5481-3131
駒込中学校,113-0022,文京区千駄木５−６−２５,03-3828-4141
駒沢学園女子中学校,206-8511,稲城市坂浜２３８,042-350-7123
駒場東邦中学校,154-0001,世田谷区池尻４−５−１,03-3466-8221
桜丘中学校,114-0023,北区滝野川１−５１−１２,03-3910-6161
サレジオ中学校,187-0021,小平市上水南町４−７−１,042-321-0312
実践学園中学校,164-0011,中野区中央２−３４−２,03-3371-5268
実践女子学園中学校,150-0011,渋谷区東１−１−１１,03-3409-1771
品川女子学院中等部,140-8707,品川区北品川３−３−１２,03-3474-4048
芝中学校,105-0011,港区芝公園３−５−３７,03-3431-2629
芝浦工業大学中学校,174-8524,板橋区坂下２−２−１,03-5994-0721
渋谷教育学園渋谷中学校,150-0002,渋谷区渋谷１−２１−１８,03-3400-6363
自由学園男子部中等科,203-8521,東久留米市学園町１−８−１５,0424-22-3111
自由学園女子部中等科,203-8521,東久留米市学園町１−８−１５,0424-22-3111
修徳中学校,125-8507,葛飾区青戸８−１０−１,03-3601-0116
十文字中学校,170-0004,豊島区北大塚１−１０−３３,03-3918-0511
淑徳中学校,174-8643,板橋区前野町５−１４−１,03-3969-7411
淑徳ＳＣ中等部,112-0002,文京区小石川３−１４−３,03-3811-0237
淑徳巣鴨中学校,170-0001,豊島区西巣鴨２−２２−１６,03-3918-6451
順天中学校,114-0022,北区王子本町１−１７−１３,03-3908-2966
松蔭中学校,155-8611,世田谷区北沢１−１６−１０,03-3467-1511
頌栄女子学院中学校,108-0071,港区白金台２−２６−５,03-3441-2005
城西大学附属城西中学校,171-0044,豊島区千早１−１０−２６,03-3973-6331
聖徳学園中学校,180-8601,武蔵野市境南町２−１１−８,0422-31-5121
城北中学校,174-8711,板橋区東新町２−２８−１,03-3956-3157
昭和女子大学附属昭和中学校,154-8533,世田谷区太子堂１−７,03-3424-9128
女子学院中学校,102-0082,千代田区一番町２２−１０,03-3263-1711
女子聖学院中学校,114-8574,北区中里３−１２−２,03-3917-2277
女子美術大学付属中学校,166-8538,杉並区和田１−４９−８,03-5340-4541
白梅学園清修中学校,187-8570,小平市小川町１−８３０,042-346-5691
白百合学園中学校,102-8185,千代田区九段北２−４−１,03-3234-6661
巣鴨中学校,170-0012,豊島区上池袋１−２１−１,03-3918-5311
杉並学院中学校,166-0004,杉並区阿佐谷南２−３０−１７,03-3316-3311
駿台学園中学校,114-0002,北区王子６−１−１０,03-3913-5735
聖学院中学校,114-8502,北区中里３−１２−１,03-3917-1121
成蹊中学校,180-8633,武蔵野市吉祥寺北町３−１０−１３,0422-37-3818
成城中学校,162-8670,新宿区原町３−８７,03-3341-6141
成城学園中学校,157-8511,世田谷区成城６−１−２０,03-3482-1181
成女学園中学校,162-0067,新宿区富久町７−３０,03-3351-2330
聖心女子学院中等科,108-0072,港区白金４−１１−１,03-3444-7671
聖ドミニコ学園中学校,157-0076,世田谷区岡本１−１０−１,03-3700-0017
星美学園中学校,115-8524,北区赤羽台４−２−１４,03-3906-0054
清明学園中学校,145-0066,大田区南雪谷３−１２−２６,03-3726-7139
成立学園中学校,114-0001,北区東十条６−９−１３,03-3902-5494
青稜中学校,142-8550,品川区二葉１−６−６,03-3782-1502
世田谷学園中学校,154-0005,世田谷区三宿１−１６−３１,03-3411-8661
創価中学校,187-0032,小平市小川町１−８６０,042-341-2611
高輪中学校,108-0074,港区高輪２−１−３２,03-3441-7201
瀧野川女子学園中学校,114-0016,北区上中里１−２７−７,03-3910-6315
玉川学園中学部,194-8610,町田市玉川学園６−１−１,042-739-8928
玉川聖学院中等部,158-0083,世田谷区奥沢７−１１−２２,03-3702-4141
多摩大学附属聖ケ丘中学校,206-0022,多摩市聖ヶ丘４−１−１,042-372-9393
多摩大学目黒中学校,153-0064,目黒区下目黒４−１０−２４,03-3714-2661
中央大学附属中学校,184-8575,小金井市貫井北町３−２２−１,042-381-5413
千代田女学園中学校,102-0081,千代田区四番町１１,03-3263-6551
帝京中学校,173-8555,板橋区稲荷台２７−１,03-3963-4711
帝京大学中学校,192-0361,八王子市越野３２２,0426-76-9511
帝京八王子中学校,192-0151,八王子市上川町３７６６,0426-54-6141
貞静学園中学校,112-8625,文京区大塚１−２−１０,03-3943-3711
田園調布学園中等部,158-8512,世田谷区東玉川２−２１−８,03-3727-6121
田園調布雙葉中学校,158-0085,世田谷区玉川田園調布１−２０−９,03-3721-5087
東海大学菅生高等学校中等部,197-0807,あきる野市菅生１４６８,042-559-2411
東海大学付属高輪台高等学校中等部,108-8587,港区高輪２−２−１６,03-3448-4011
東京家政学院中学校,102-8341,千代田区三番町２２,03-3262-2251
東京家政大学附属女子中学校,173-8602,板橋区加賀１−１８−１,03-3961-2447
東京純心女子中学校,192-0011,八王子市滝山町２−６００,0426-91-1345
東京女学館中学校,150-0012,渋谷区広尾３−７−１６,03-3400-0861
東京女子学院中学校,177-0051,練馬区関町北４−１６−１１,03-3920-5151
東京女子学園中学校,108-0014,港区芝４−１−３０,03-3451-0912
東京成徳大学中学校,114-8526,北区豊島８−２６−９,03-3911-7109
東京電機大学中学校,184-8555,小金井市梶野町４−８−１,0422-37-6441
東京都市大学等々力中学校,158-0082,世田谷区等々力８−１０−１,03-5962-0104
東京都市大学付属中学校,157-8560,世田谷区成城１−１３−１,03-3416-4161
東京農業大学第一高等学校中等部,156-0053,世田谷区桜３−３３−１,03-3425-4481
東京立正中学校,166-0013,杉並区堀ノ内２−４１−１５,03-3312-1111
東星学園中学校,204-0024,清瀬市梅園３−１４−４７,0424-93-3201
桐朋中学校,186-0004,国立市中３−１−１０,042-577-2171
東邦音楽大学附属東邦中学校,112-0012,文京区大塚４−４６−９,03-3946-9668
桐朋女子中学校,182-8510,調布市若葉町１−４１−１,03-3300-2111
東洋英和女学院中学部,106-8507,港区六本木５−１４−４０,03-3583-0696
東洋大学京北中学校,112-0001,文京区白山２−３６−５,03-3816-6212
トキワ松学園中学校,152-0003,目黒区碑文谷４−１７−１６,03-3713-8161
豊島岡女子学園中学校,170-0013,豊島区東池袋１−２５−２２,03-3983-8261
獨協中学校,112-0014,文京区関口３−８−１,03-3943-3651
中村中学校,135-0024,江東区清澄２−３−１５,03-3642-8296
新渡戸文化中学校,164-8638,中野区本町６−３８−１,03-3381-0196
日本学園中学校,156-0043,世田谷区松原２−７−３４,03-3322-6331
日本工業大学駒場中学校,153-0041,目黒区駒場１−３５−３２,03-3467-2130
日本大学第一中学校,130-0015,墨田区横網１−５−２,03-3625-0026
日本大学第二中学校,167-0032,杉並区天沼１−４５−３３,03-3391-5739
日本大学第三中学校,194-0203,町田市図師町１１−２３７５,042-793-2123
日本大学豊山中学校,112-0012,文京区大塚５−４０−１０,03-3943-2161
日本大学豊山女子中学校,174-0064,板橋区中台３−１５−１,03-3934-2341
八王子学園八王子中学校,193-0931,八王子市台町４−３５−１,042-623-3461
八王子実践中学校,193-0931,八王子市台町１−６−１５,0426-22-0654
日出中学校,153-0063,目黒区目黒１−６−１５,03-3492-3388
広尾学園中学校,106-0047,港区南麻布５−１−１４,03-3444-7271
富士見中学校,176-0023,練馬区中村北４−８−２６,03-3999-2136
富士見丘中学校,151-0073,渋谷区笹塚３−１９−９,03-3376-1481
藤村女子中学校,180-8505,武蔵野市吉祥寺本町２−１６−３,0422-22-1266
雙葉中学校,102-0085,千代田区六番町１４−１,03-3261-0821
普連土学園中学校,108-0073,港区三田４−１４−１６,03-3451-4616
文化学園大学杉並中学校,166-0004,杉並区阿佐谷南３−４８−１６,03-3392-6636
文華女子中学校,188-0004,西東京市西原町４−５−８５,0424-63-2664
文京学院大学女子中学校,113-8667,文京区本駒込６−１８−３,03-3946-5301
文教大学付属中学校,142-0064,品川区旗の台３−２−１７,03-3783-5511
法政大学中学校,181-0002,三鷹市牟礼４−３−１,0422-79-6230
宝仙学園中学校,164-8628,中野区中央２−２８−３,03-3371-7103
本郷中学校,170-0003,豊島区駒込４−１１−１,03-3917-1456
三田国際学園中学校,158-0097,世田谷区用賀２−１６−１,03-3707-5676
明星学園中学校,181-0001,三鷹市井の頭５−７−７,0422-43-2197
三輪田学園中学校,102-0073,千代田区九段北３−３−１５,03-3263-7801
武蔵中学校,176-8535,練馬区豊玉上１−２６−１,03-5984-3741
武蔵野中学校,114-0024,北区西ヶ原４−５６−２０,03-3910-0151
武蔵野女子学院中学校,202-8585,西東京市新町１−１−２０,0424-68-3256
武蔵野東中学校,184-0003,小金井市緑町２−６−４,042-384-4311
村田女子中学校,113-8665,文京区本駒込２−２９−１,03-5940-4187
明治学院中学校,189-0024,東村山市富士見町１−１２−３,042-391-2142
明治大学付属中野中学校,164-0003,中野区東中野３−３−４,03-3362-8704
明治大学付属中野八王子中学校,192-0001,八王子市戸吹町１１００,0426-91-0321
明治大学付属明治中学校,182-0033,調布市富士見町４−２３−２５,042-444-9100
明星中学校,183-8531,府中市栄町１−１,042-368-5111
明法中学校,189-0024,東村山市富士見町２−４−１２,042-393-5611
目黒学院中学校,153-8631,目黒区中目黒１−１−５０,03-3711-6556
目黒星美学園中学校,157-0074,世田谷区大蔵２−８−１,03-3416-1150
目白研心中学校,161-8539,新宿区中落合４−３１−１,03-5996-3131
八雲学園中学校,152-0023,目黒区八雲２−１４−１,03-3717-1196
安田学園中学校,130-0015,墨田区横網２−２−２５,03-3624-2666
山脇学園中学校,107-8371,港区赤坂４−１０−３６,03-3585-3911
立教池袋中学校,171-0021,豊島区西池袋５−１６−５,03-3985-2707
立教女学院中学校,168-8616,杉並区久我山４−２９−６０,03-3334-5103
立正大学付属立正中学校,143-8557,大田区西馬込１−５−１,03-6303-7683
和光中学校,195-0051,町田市真光寺町１２９１,042-734-3401
早稲田中学校,162-8654,新宿区馬場下町６２,03-3202-7674
早稲田大学系属早稲田実業学校中等部,185-8505,国分寺市本町１−２−１,042-300-2121
早稲田大学高等学院中学部,177-0044,練馬区上石神井３−３１−１,03-5991-4151
和洋九段女子中学校,102-0073,千代田区九段北１−１２−１２,03-3262-4161
東京シューレ葛飾中学校,124-0024,葛飾区新小岩３−２５−１,03-5678-8171
